feature,provider,prompt_style,context_level,rf_importance,shap_importance,auroc,n_samples,n_positive,n_negative
author_religiosity,anthropic,engaging,post,0.025888248645929354,0.006930776848729247,0.8139934210526315,960,200,760
sentiment_polarity,anthropic,engaging,post,0.08289111230408482,0.020778241117315053,0.8139934210526315,960,200,760
sentiment_subjectivity,anthropic,engaging,post,0.08011670461603289,0.01325447586075985,0.8139934210526315,960,200,760
polarization_score,anthropic,engaging,post,0.0731476927978403,0.012654935433675966,0.8139934210526315,960,200,760
primary_topic,anthropic,engaging,post,0.06197825062035258,0.014054743849240965,0.8139934210526315,960,200,760
toxicity,anthropic,engaging,post,0.07934535755150304,0.010474880660514828,0.8139934210526315,960,200,760
user_followers_count,anthropic,engaging,post,0.0558335403046623,0.008748057473028923,0.8139934210526315,960,200,760
user_friends_count,anthropic,engaging,post,0.05919908162945164,0.010445235234106889,0.8139934210526315,960,200,760
user_statuses_count,anthropic,engaging,post,0.07353662659483734,0.01172486988252394,0.8139934210526315,960,200,760
user_favourites_count,anthropic,engaging,post,0.06636640315892853,0.01398117398572767,0.8139934210526315,960,200,760
favorite_count,anthropic,engaging,post,0.06572177583667507,0.008896575864823666,0.8139934210526315,960,200,760
retweet_count,anthropic,engaging,post,0.06776777104813964,0.010954415528799156,0.8139934210526315,960,200,760
retweeted,anthropic,engaging,post,0.015424936174934336,0.004718630184690454,0.8139934210526315,960,200,760
author_gender,anthropic,informative,author,0.019918170846343817,0.0022584329171817653,0.770933889602054,979,200,779
author_partisanship,anthropic,informative,author,0.020410605451886,0.006708597227542762,0.770933889602054,979,200,779
author_ideology,anthropic,informative,author,0.028876840785875796,0.004223461289214987,0.770933889602054,979,200,779
author_race,anthropic,informative,author,0.027319337480440943,0.0041296056581440034,0.770933889602054,979,200,779
author_age,anthropic,informative,author,0.04400391539791451,0.012750964459726913,0.770933889602054,979,200,779
author_education,anthropic,informative,author,0.01683964263701664,0.00337008964806848,0.770933889602054,979,200,779
author_income,anthropic,informative,author,0.03383215479496354,0.008434200891866203,0.770933889602054,979,200,779
author_marital_status,anthropic,informative,author,0.022804798251112413,0.004096964900740879,0.770933889602054,979,200,779
author_religiosity,anthropic,informative,author,0.024083457079537803,0.0051125711493286525,0.770933889602054,979,200,779
sentiment_polarity,anthropic,informative,author,0.08623491316728459,0.012800677112181037,0.770933889602054,979,200,779
sentiment_subjectivity,anthropic,informative,author,0.08134106098725943,0.012595503125148119,0.770933889602054,979,200,779
polarization_score,anthropic,informative,author,0.07138649304761474,0.011115077399114864,0.770933889602054,979,200,779
primary_topic,anthropic,informative,author,0.054244914868587825,0.007770046084473947,0.770933889602054,979,200,779
toxicity,anthropic,informative,author,0.06918595457037119,0.010509744698400774,0.770933889602054,979,200,779
user_followers_count,anthropic,informative,author,0.05494850033427289,0.008066598016053654,0.770933889602054,979,200,779
user_friends_count,anthropic,informative,author,0.05702213211167839,0.006741357724383458,0.770933889602054,979,200,779
user_statuses_count,anthropic,informative,author,0.06828834523550412,0.008549026331625792,0.770933889602054,979,200,779
user_favourites_count,anthropic,informative,author,0.05601378030241046,0.008621925494720167,0.770933889602054,979,200,779
favorite_count,anthropic,informative,author,0.07994806530381232,0.011201688021252878,0.770933889602054,979,200,779
retweet_count,anthropic,informative,author,0.07059527252122319,0.011435774517989213,0.770933889602054,979,200,779
retweeted,anthropic,informative,author,0.012701644824889446,0.0019233658771774722,0.770933889602054,979,200,779
author_gender,anthropic,informative,author_post,0.014442219548534656,0.002041623019308404,0.7951047297297298,940,200,740
