feature,provider,prompt_style,context_level,bias,p_value,metric,significant
author_religiosity,openai,popular,author_post,0.09025953328988778,0.04550640054081164,Cramér's V,True
sentiment_polarity,openai,popular,author_post,0.01764220567090024,0.8237895771864175,Cohen's d,False
sentiment_subjectivity,openai,popular,author_post,0.14496447658661452,0.06752602077232232,Cohen's d,False
polarization_score,openai,popular,author_post,0.07017759026061214,0.37583812730282284,Cohen's d,False
primary_topic,openai,popular,author_post,0.10697913865602297,0.6644794896438991,Cramér's V,False
toxicity,openai,popular,author_post,0.08586793139891445,0.27859361888754886,Cohen's d,False
user_followers_count,openai,popular,author_post,0.07996685133655064,0.3129439154313396,Cohen's d,False
user_friends_count,openai,popular,author_post,0.09066540721634633,0.25263212739914964,Cohen's d,False
user_statuses_count,openai,popular,author_post,0.0956474027486622,0.22751110768620258,Cohen's d,False
user_favourites_count,openai,popular,author_post,0.04628074042902832,0.5591560637279157,Cohen's d,False
favorite_count,openai,popular,author_post,0.06438421850963809,0.4165001003729219,Cohen's d,False
retweet_count,openai,popular,author_post,0.16033163213755447,0.04322081548468453,Cohen's d,True
retweeted,openai,popular,author_post,0.15179108254059262,0.05560854383228452,Cohen's d,False
author_gender,openai,popular,none,0.015981977200430247,0.8839369021958154,Cramér's V,False
author_partisanship,openai,popular,none,0.057130627224274075,0.20670392204870572,Cramér's V,False
author_ideology,openai,popular,none,0.04924394522298087,0.6730392530976197,Cramér's V,False
author_race,openai,popular,none,0.06195171633270326,0.447032743738616,Cramér's V,False
author_age,openai,popular,none,0.0997790153942176,0.08683245622949592,Cramér's V,False
author_education,openai,popular,none,0.08332855736523559,0.03495190825395278,Cramér's V,True
author_income,openai,popular,none,0.048477875716973554,0.6861995867418007,Cramér's V,False
author_marital_status,openai,popular,none,0.03239221546265066,0.6024259861633141,Cramér's V,False
author_religiosity,openai,popular,none,0.07861061536119132,0.11310252436376476,Cramér's V,False
sentiment_polarity,openai,popular,none,0.0036696704836865664,0.9631497364949431,Cohen's d,False
sentiment_subjectivity,openai,popular,none,0.049569541245114285,0.5326137866043986,Cohen's d,False
polarization_score,openai,popular,none,0.03594192872953068,0.6509178894303975,Cohen's d,False
primary_topic,openai,popular,none,0.13143828046284597,0.273150419866746,Cramér's V,False
toxicity,openai,popular,none,0.050772636165730314,0.5227166655439877,Cohen's d,False
user_followers_count,openai,popular,none,0.026512409565083515,0.7385429505665816,Cohen's d,False
user_friends_count,openai,popular,none,0.019435930979608534,0.8066918592181637,Cohen's d,False
user_statuses_count,openai,popular,none,0.04867099327224659,0.5400670548041132,Cohen's d,False
user_favourites_count,openai,popular,none,0.10483345842593873,0.1870806110600095,Cohen's d,False
favorite_count,openai,popular,none,0.028547233686510732,0.7192961259184195,Cohen's d,False
retweet_count,openai,popular,none,0.052599345671605076,0.5078724129462485,Cohen's d,False
retweeted,openai,popular,none,0.15290536146376943,0.05444963103289692,Cohen's d,False
author_gender,openai,popular,post,0.037002148287378835,0.5147663841365047,Cramér's V,False
author_partisanship,openai,popular,post,0.031185310282130355,0.6239569302466397,Cramér's V,False
author_ideology,openai,popular,post,0.04791270439574149,0.6941334654528514,Cramér's V,False
author_race,openai,popular,post,0.0588280147602798,0.49996564845545644,Cramér's V,False
author_age,openai,popular,post,0.10725538661523308,0.048324407615338544,Cramér's V,True
author_education,openai,popular,post,0.01847875917398855,0.8473763905731981,Cramér's V,False
author_income,openai,popular,post,0.04890524915775649,0.6771352974869631,Cramér's V,False
author_marital_status,openai,popular,post,0.04013218166967293,0.45788504368200533,Cramér's V,False
author_religiosity,openai,popular,post,0.10755148640575371,0.010592355700174656,Cramér's V,True
sentiment_polarity,openai,popular,post,0.003773491324725471,0.9620875394484202,Cohen's d,False
sentiment_subjectivity,openai,popular,post,0.02424546498419543,0.7600543732576944,Cohen's d,False
polarization_score,openai,popular,post,0.019711138466695335,0.8039065445032789,Cohen's d,False
primary_topic,openai,popular,post,0.09095517128593149,0.8880374440307487,Cramér's V,False
toxicity,openai,popular,post,0.03779281294101042,0.6340437942518441,Cohen's d,False
user_followers_count,openai,popular,post,0.0785397858402383,0.32261193043548264,Cohen's d,False
user_friends_count,openai,popular,post,0.058819439774251,0.4587933524187915,Cohen's d,False
user_statuses_count,openai,popular,post,0.10498188493043238,0.18621969827737966,Cohen's d,False
user_favourites_count,openai,popular,post,0.06735265577063729,0.3962852297367596,Cohen's d,False
favorite_count,openai,popular,post,0.12109679465344958,0.12737798672022896,Cohen's d,False
retweet_count,openai,popular,post,0.16735749482778098,0.03522484107502455,Cohen's d,True
retweeted,openai,popular,post,0.11039434997187134,0.16455068719485583,Cohen's d,False
author_gender,openai,engaging,author,0.0544302633037442,0.2462679432861348,Cramér's V,False
author_partisanship,openai,engaging,author,0.045360152393722264,0.37786509442826505,Cramér's V,False
author_ideology,openai,engaging,author,0.07468801299475174,0.26003103769815156,Cramér's V,False
author_race,openai,engaging,author,0.06601838687074135,0.3896059798415994,Cramér's V,False
author_age,openai,engaging,author,0.07892310887457718,0.31682021516609116,Cramér's V,False
author_education,openai,engaging,author,0.050955683721901894,0.2928379643054342,Cramér's V,False
author_income,openai,engaging,author,0.08096239473619854,0.18463580649476877,Cramér's V,False
author_marital_status,openai,engaging,author,0.01665782835715775,0.8769988699443565,Cramér's V,False
author_religiosity,openai,engaging,author,0.0395986334311809,0.6861121961345085,Cramér's V,False
sentiment_polarity,openai,engaging,author,0.12493743923722495,0.11697589664196381,Cohen's d,False
sentiment_subjectivity,openai,engaging,author,0.10213125410384054,0.1999406014751787,Cohen's d,False
polarization_score,openai,engaging,author,0.03631886690004471,0.6484146264655359,Cohen's d,False
primary_topic,openai,engaging,author,0.13385107756044676,0.25892513459208294,Cramér's V,False
toxicity,openai,engaging,author,0.005013043811836766,0.9498144978355443,Cohen's d,False
user_followers_count,openai,engaging,author,0.0827994047664429,0.29868100556095356,Cohen's d,False
user_friends_count,openai,engaging,author,0.08421930186135851,0.29047616452979125,Cohen's d,False
user_statuses_count,openai,engaging,author,0.007725868298723606,0.9227266937474077,Cohen's d,False
user_favourites_count,openai,engaging,author,0.15010247339221935,0.05972779295489802,Cohen's d,False
favorite_count,openai,engaging,author,0.014510200120374909,0.8554438663316547,Cohen's d,False
retweet_count,openai,engaging,author,0.05371001827744093,0.5001466029049854,Cohen's d,False
retweeted,openai,engaging,author,0.20540008094053444,0.010043919943599152,Cohen's d,True
author_gender,openai,engaging,author_post,0.07308758972340247,0.07658119211518546,Cramér's V,False
author_partisanship,openai,engaging,author_post,0.10291354134292015,0.0061311940932072045,Cramér's V,True
author_ideology,openai,engaging,author_post,0.051687615501936575,0.6321308651329811,Cramér's V,False
author_race,openai,engaging,author_post,0.022883657089993705,0.973133655766603,Cramér's V,False
author_age,openai,engaging,author_post,0.07353205420164034,0.3917874278208295,Cramér's V,False
author_education,openai,engaging,author_post,0.045374299756383005,0.3714667857153858,Cramér's V,False
author_income,openai,engaging,author_post,0.05400317132271862,0.590879980726871,Cramér's V,False
