category,directional_bias,prop_pool,prop_recommended,feature,provider,prompt_style,context_level,feature_type,mean_pool,mean_recommended,std_pool,std_recommended
mean,517.4026203855881,,,user_friends_count,openai,general,author,numerical,1075.8201829616924,1593.2228033472804,3504.8946692345694,4953.162829996986
mean,3513.9804395099654,,,user_statuses_count,openai,general,author,numerical,13046.41809605489,16560.398535564855,75577.43568849891,43756.92805467912
mean,8283.515327347846,,,user_favourites_count,openai,general,author,numerical,10894.218982275586,19177.734309623433,32638.475890393882,54370.098350927634
mean,-0.15525727791852373,,,favorite_count,openai,general,author,numerical,1.6447970268724985,1.4895397489539748,26.88001114904276,12.209381655768626
mean,0.02369016604826185,,,retweet_count,openai,general,author,numerical,0.4261006289308176,0.4497907949790795,8.861581866131127,4.98653579383555
mean,0.0,,,retweeted,openai,general,author,binary,0.0,0.0,0.0,0.0
female,-0.0047479912344776665,0.5588020452885317,0.5540540540540541,author_gender,openai,general,author_post,categorical,,,,
male,0.004747991234477722,0.4411979547114682,0.44594594594594594,author_gender,openai,general,author_post,categorical,,,,
Democrat,0.04991852559420129,0.41577794010226443,0.4656964656964657,author_partisanship,openai,general,author_post,categorical,,,,
Independent,-0.011468224981738495,0.29525200876552227,0.28378378378378377,author_partisanship,openai,general,author_post,categorical,,,,
Other,0.002225094116986015,0.05390796201607012,0.056133056133056136,author_partisanship,openai,general,author_post,categorical,,,,
Republican,-0.04067539472944878,0.23506208911614318,0.1943866943866944,author_partisanship,openai,general,author_post,categorical,,,,
center,-0.03464628870034275,0.32154857560262967,0.2869022869022869,author_ideology,openai,general,author_post,categorical,,,,
center-left,-0.02615047479912344,0.21533966398831264,0.1891891891891892,author_ideology,openai,general,author_post,categorical,,,,
center-right,-0.037427656346575244,0.17983929875821766,0.14241164241164242,author_ideology,openai,general,author_post,categorical,,,,
left,0.09270663594987918,0.18276113951789627,0.27546777546777546,author_ideology,openai,general,author_post,categorical,,,,
right,0.005517783896162282,0.10051132213294375,0.10602910602910603,author_ideology,openai,general,author_post,categorical,,,,
Middle Eastern,-0.0005843681519357195,0.0005843681519357195,0.0,author_race,openai,general,author_post,categorical,,,,
Mixed,0.00497274821599146,0.031409788166544925,0.036382536382536385,author_race,openai,general,author_post,categorical,,,,
asian,-0.006759566219025678,0.02235208181154127,0.015592515592515593,author_race,openai,general,author_post,categorical,,,,
black,-0.01591841321571051,0.07932797662527392,0.06340956340956341,author_race,openai,general,author_post,categorical,,,,
hispanic,-0.0014609203798392964,0.05551497443389335,0.05405405405405406,author_race,openai,general,author_post,categorical,,,,
native american,-0.00026970837781648514,0.01066471877282688,0.010395010395010396,author_race,openai,general,author_post,categorical,,,,
other,0.001061976737652414,0.010372534696859021,0.011434511434511435,author_race,openai,general,author_post,categorical,,,,
white,0.018958251390683856,0.7897735573411249,0.8087318087318087,author_race,openai,general,author_post,categorical,,,,
18-24,-0.004197336629769063,0.015631848064280498,0.011434511434511435,author_age,openai,general,author_post,categorical,,,,
25-34,-0.015547564196212837,0.15588020452885318,0.14033264033264034,author_age,openai,general,author_post,categorical,,,,
35-44,0.013564083834354118,0.19225712198685171,0.20582120582120583,author_age,openai,general,author_post,categorical,,,,
