context_level,provider,prompt_style,feature,coef,pvalue
none,google,controversial,has_url,-0.20725309196126118,0.017488951066801157
none,google,neutral,user_followers_count,0.3092529104361648,2.009792798273954e-06
none,google,neutral,user_friends_count,-0.11521698559057182,0.03166833747472803
none,google,neutral,user_statuses_count,-0.1593101548164301,0.003983898051130217
none,google,neutral,user_favourites_count,-0.08858625899175986,0.08111073628311731
none,google,neutral,favorite_count,-0.23530113867297248,2.6573252997575775e-05
none,google,neutral,retweet_count,0.177925006382553,0.00010062196314375667
none,google,neutral,avg_word_length,-0.22129243565319331,0.0010561728647678931
none,google,neutral,text_length,0.34327208448056207,2.6282800597530058e-20
none,google,neutral,sentiment_polarity,-0.2957366232889369,4.015578047823529e-14
none,google,neutral,sentiment_subjectivity,0.22258740294830462,1.182954281375542e-07
none,google,neutral,polarization_score,0.6864234536734969,9.603332141554366e-68
none,google,neutral,toxicity,-0.04540810675965612,0.22111148331072694
none,google,neutral,has_emoji,-0.7146440401547827,0.01918228982772665
none,google,neutral,has_hashtag,-0.046932047872122074,0.6032434463513181
none,google,neutral,has_mention,-0.6141537942282419,4.745482422019066e-13
none,google,neutral,has_url,0.35733921247168543,3.0133620097976606e-05
author,anthropic,general,user_followers_count,0.4834004552617958,3.239420916072456e-15
author,anthropic,general,user_friends_count,-0.04026983834424065,0.44102164436472524
author,anthropic,general,user_statuses_count,-0.2331406603010712,3.162654773380114e-05
author,anthropic,general,user_favourites_count,-0.11842528779101329,0.021029494196250508
author,anthropic,general,favorite_count,0.004602795778494405,0.924662334074515
author,anthropic,general,retweet_count,0.030880352243126977,0.50005644094289
author,anthropic,general,avg_word_length,-0.20405656897334423,0.001528136036453479
author,anthropic,general,text_length,0.36929400600621126,8.742891940189595e-24
author,anthropic,general,sentiment_polarity,-0.23031321108328123,1.3197535328531091e-08
author,anthropic,general,sentiment_subjectivity,0.03667637600223083,0.39834555091473656
author,anthropic,general,polarization_score,0.30792690522240196,1.2021805372066403e-14
author,anthropic,general,toxicity,-0.1679271119376121,8.99425861948361e-05
author,anthropic,general,has_emoji,-0.20522264075828325,0.40025746122997174
author,anthropic,general,has_hashtag,-0.4985953297150255,1.33088376692857e-07
author,anthropic,general,has_mention,-1.2906641865291135,5.500024386839622e-46
author,anthropic,general,has_url,-0.1791329394826449,0.029925537249351146
author,anthropic,popular,user_followers_count,0.4485686410385643,1.6767394908485795e-13
author,anthropic,popular,user_friends_count,-0.05088465777666471,0.3387738318687814
author,anthropic,popular,user_statuses_count,-0.27432861334480113,4.888558381869055e-07
author,anthropic,popular,user_favourites_count,0.1617986651949051,0.001327383474629214
author,anthropic,popular,favorite_count,0.1350816292988539,0.0030083066394671456
author,anthropic,popular,retweet_count,-0.0776356558284177,0.05150452319431539
author,anthropic,popular,avg_word_length,-0.28700115394748854,4.13648228478527e-06
author,anthropic,popular,text_length,0.37053273494635847,2.1066066252361954e-22
author,anthropic,popular,sentiment_polarity,-0.11533211927723844,0.005306743846826183
author,anthropic,popular,sentiment_subjectivity,0.11668037268228326,0.0052287419141675345
author,anthropic,popular,polarization_score,0.06212131676828987,0.13157245809736048
author,anthropic,popular,toxicity,-0.03811590509676461,0.32769599947262706
author,anthropic,popular,has_emoji,0.22752995270050214,0.23714485636097404
author,anthropic,popular,has_hashtag,-0.4260401403515749,1.203945982488433e-05
author,anthropic,popular,has_mention,-1.5762503579488334,4.3117456674318726e-66
author,anthropic,popular,has_url,-0.8953989949183381,1.7433754758783832e-28
author,anthropic,engaging,user_followers_count,0.5336509282650158,5.832958510960673e-19
author,anthropic,engaging,user_friends_count,-0.14569697810135535,0.00407795158921152
author,anthropic,engaging,user_statuses_count,-0.22138795245757606,7.846572176797686e-05
author,anthropic,engaging,user_favourites_count,0.061060198680196444,0.23201781402992083
author,anthropic,engaging,favorite_count,0.033331816786347786,0.466170793316381
author,anthropic,engaging,retweet_count,0.0013492628486683293,0.9725091924654391
author,anthropic,engaging,avg_word_length,-0.3025779781429152,1.1162392339281242e-06
author,anthropic,engaging,text_length,0.3119173243484439,7.551484690964391e-19
author,anthropic,engaging,sentiment_polarity,-0.2226142038654736,1.3449154521567135e-08
author,anthropic,engaging,sentiment_subjectivity,0.08716778352550693,0.03674179956231607
author,anthropic,engaging,polarization_score,0.2852774317736477,1.63854485784443e-13
author,anthropic,engaging,toxicity,0.013352406888131661,0.7103065654488848
author,anthropic,engaging,has_emoji,-0.5595835497917743,0.02242271925469983
author,anthropic,engaging,has_hashtag,-0.04210475125353299,0.640392306326594
author,anthropic,engaging,has_mention,-1.0104901975812413,2.584377349099497e-32
author,anthropic,engaging,has_url,-0.44514204989510836,3.0549458184690106e-08
author,anthropic,informative,user_followers_count,0.47166062542466275,2.370120851574146e-14
author,anthropic,informative,user_friends_count,-0.09602897318656134,0.06504211018197384
author,anthropic,informative,user_statuses_count,-0.1529742944668797,0.005504842246317414
author,anthropic,informative,user_favourites_count,-0.24230563272030317,2.1125606246072856e-06
author,anthropic,informative,favorite_count,-0.11241911486902303,0.04257815465047443
author,anthropic,informative,retweet_count,-0.034625955140366586,0.5127395095878742
author,anthropic,informative,avg_word_length,0.1076551760735661,0.06674605261664415
author,anthropic,informative,text_length,0.5425574849466861,3.891436579441028e-41
author,anthropic,informative,sentiment_polarity,-0.1369540842180666,0.0013030510619030282
author,anthropic,informative,sentiment_subjectivity,-0.13755613686009635,0.0033210450049715517
author,anthropic,informative,polarization_score,0.6854524568202188,1.2974846857840983e-65
author,anthropic,informative,toxicity,-0.35941372910953934,4.992470045744236e-10
author,anthropic,informative,has_emoji,-2.0045744833464347,0.0007058352447641363
author,anthropic,informative,has_hashtag,-0.7169032811236767,1.2920832418360555e-12
author,anthropic,informative,has_mention,-0.9007772688341472,2.4474147005923032e-24
author,anthropic,informative,has_url,0.4827859116555705,3.996097827852256e-08
author,anthropic,controversial,user_followers_count,0.3890469836848635,1.99415358140128e-08
author,anthropic,controversial,user_friends_count,-0.127337776885503,0.031524822497291896
author,anthropic,controversial,user_statuses_count,-0.3720342898253831,2.8772090809371918e-09
author,anthropic,controversial,user_favourites_count,0.024006350790839234,0.6808877636987916
author,anthropic,controversial,favorite_count,-0.06333382807463704,0.22351629688490715
author,anthropic,controversial,retweet_count,-0.08622515773066979,0.07713864356773377
author,anthropic,controversial,avg_word_length,-0.29242425251645077,1.7472248088436528e-05
author,anthropic,controversial,text_length,0.5673807189857001,1.3999330837342657e-46
author,anthropic,controversial,sentiment_polarity,-0.2911471215880127,3.674839822945452e-12
author,anthropic,controversial,sentiment_subjectivity,0.0013142371192197508,0.9779080645409723
author,anthropic,controversial,polarization_score,1.030692381866441,1.1716373965542577e-117
author,anthropic,controversial,toxicity,-0.16338261320277037,2.327703387255306e-05
author,anthropic,controversial,has_emoji,-1.6923634403786627,0.00011897061041596853
author,anthropic,controversial,has_hashtag,-0.43000605713309725,0.00013434551648772283
author,anthropic,controversial,has_mention,-0.9442090300788367,3.7341300895145715e-23
author,anthropic,controversial,has_url,-0.8771903043283529,7.689738066215952e-23
author,anthropic,neutral,user_followers_count,0.6091597954738026,1.9965214276960936e-25
author,anthropic,neutral,user_friends_count,-0.06148791788189826,0.23174319502135643
author,anthropic,neutral,user_statuses_count,-0.27360362396631877,9.213649332273876e-07
author,anthropic,neutral,user_favourites_count,0.07094932671824283,0.17138960372120593
author,anthropic,neutral,favorite_count,0.01763665836922641,0.6968131564935978
author,anthropic,neutral,retweet_count,0.07558408904269354,0.05380805106571598
author,anthropic,neutral,avg_word_length,-0.17043643653693358,0.0035199841108333454
author,anthropic,neutral,text_length,0.35974269330749437,6.794860371660898e-23
author,anthropic,neutral,sentiment_polarity,-0.1987737634929117,7.207436579085406e-07
author,anthropic,neutral,sentiment_subjectivity,0.13820894536002434,0.0008526718181158138
author,anthropic,neutral,polarization_score,0.292104832905604,9.8605358950439e-14
author,anthropic,neutral,toxicity,-0.28031571113875964,1.595683568631988e-08
author,anthropic,neutral,has_emoji,-0.22532784332587227,0.274262010750416
author,anthropic,neutral,has_hashtag,-0.3207591922670685,0.0007128563276774199
author,anthropic,neutral,has_mention,-1.1315645069840143,5.910772302302716e-39
author,anthropic,neutral,has_url,-0.2532415661936972,0.0018174889771014214
author,openai,general,user_followers_count,0.2494548060806816,3.2070263118995304e-05
author,openai,general,user_friends_count,0.12336606519872534,0.023716361303024232
author,openai,general,user_statuses_count,-0.0759653267979351,0.14887359491439922
author,openai,general,user_favourites_count,0.07894032345160287,0.11206750605366568
author,openai,general,favorite_count,-0.11155362102739509,0.0194773935571693
author,openai,general,retweet_count,0.020701446075139584,0.6029354491283468
author,openai,general,avg_word_length,-0.09774726235119954,0.04750713753572512
author,openai,general,text_length,0.1994422891240782,2.327573047646542e-08
author,openai,general,sentiment_polarity,-0.09416830283899229,0.016402969396642805
