feature,coef,se,or,ci_lo,ci_hi,pvalue,context_level
author_religiosity::somewhat religious,-0.14523230839274476,0.026263342196405505,0.864821364511744,0.8214300788732459,0.9105047547587611,3.205071231376646e-08,none
author_religiosity::very religious,-0.052767559429579385,0.0403557579722735,0.9486004800951913,0.8764594449025175,1.0266794157679602,0.19102272163292489,none
author_race::Middle Eastern,-1.2009976376322624,0.5869961649695705,0.3008938790683621,0.09522525193186399,0.9507680433923941,0.040755786705280767,none
author_race::Mixed,-0.035395287142682905,0.05314946017313834,0.9652238002805285,0.8697336800493533,1.0711980069291078,0.5054381995521922,none
author_race::asian,0.06238063750660633,0.06816046882141284,1.0643674057878794,0.931262691073012,1.2164966827977448,0.3600852859426006,none
author_race::black,0.07934643934191904,0.038203393589786805,1.0825793051741741,1.0044777833506215,1.1667534826724073,0.03780641339241138,none
author_race::hispanic,0.018054978035884597,0.05004258701978288,1.018218954529216,0.9230900448477067,1.1231513600968561,0.7182547497421619,none
author_race::native american,0.19812614899579556,0.0921407601148881,1.2191161744029648,1.0176848159833405,1.4604170400782024,0.031535033611882785,none
author_race::other,-0.18159125966174705,0.07936750522542697,0.8339421365534045,0.7138006410087434,0.9743049349695645,0.022138689479661043,none
user_followers_count,0.34421040287569654,0.016179119356258584,1.410875456533889,1.3668370239403222,1.4563327733918778,1.9360538908630356e-100,author
user_friends_count,-0.019148085849943094,0.013857119830183529,0.9810340742208172,0.9547478156866941,1.008044049925454,0.16702607829624816,author
user_statuses_count,-0.1589884948989447,0.014504991263256923,0.8530061728348959,0.8290968710530073,0.8776049654732285,5.88775374310232e-28,author
user_favourites_count,0.02646038189979008,0.015124830651825941,1.0268135660530746,0.9968207782844504,1.0577087901851159,0.08021044479955708,author
favorite_count,-0.08788319033296167,0.012299374699849713,0.9158678526942146,0.8940532295077783,0.9382147459615141,8.97746623230345e-13,author
retweet_count,0.052173537053077756,0.010915090493343525,1.0535585580976843,1.0312585604617563,1.076340772234525,1.7534277057419831e-06,author
text_length,0.23186818357011582,0.010339527917127386,1.2609535034838752,1.235656872010849,1.286768013000861,2.2242210865611363e-111,author
avg_word_length,-0.12187635649165686,0.013651744684795799,0.8852578181185408,0.8618846999067236,0.9092647828935964,4.356270993736376e-19,author
sentiment_polarity,-0.13822990955805656,0.01001676178166605,0.8708984408512348,0.8539669700908628,0.8881656092581784,2.553482830559683e-43,author
sentiment_subjectivity,0.08938769655274635,0.009884181782249564,1.0935045220889998,1.0725239475187205,1.1148955159420537,1.5172015004379493e-19,author
polarization_score,0.35654143223733636,0.01358968393291597,1.428380710301278,1.3908368992163185,1.466937967140788,1.0277027595534823e-151,author
toxicity,-0.08036799117399825,0.010056393147446071,0.9227767102139817,0.9047663714141593,0.9411455640005817,1.3305687031791926e-15,author
has_emoji,-0.20051356962187367,0.056616847179811844,0.8183103857878818,0.732360360719194,0.9143475308121793,0.00039772555236031035,author
has_hashtag,-0.13643058705962047,0.025460825339449118,0.8724668786492606,0.8299964919846521,0.9171104476837467,8.393845703965366e-08,author
has_mention,-0.7539604372408343,0.026409686406810677,0.4704994743181098,0.44676461001125756,0.49549527955681083,2.920904122511063e-179,author
has_url,-0.14280570479544463,0.027489860565866945,0.8669224914159184,0.8214486660691676,0.9149136606662902,2.0488486453417138e-07,author
author_gender::female,-0.09617133425454756,0.020432873142697518,0.9083083783971427,0.8726508327677239,0.9454229335343407,2.517631951944971e-06,author
author_partisanship::Democrat,-0.09094842066196175,0.02560012665317313,0.9130648049629411,0.8683810448375181,0.9600478304060679,0.0003813641160392144,author
author_partisanship::Other,0.07238792004511786,0.04846419348910332,1.0750723052819475,0.9776516102068397,1.1822007446392022,0.13527048282738618,author
author_partisanship::Republican,-0.04690148108994047,0.03010125816748953,0.9541813978712098,0.8995146426239293,1.0121704493743342,0.1192039484946891,author
author_ideology::center-left,0.09065760413620423,0.029197213346571826,1.0948940538758856,1.0339961637540858,1.1593785656422206,0.0019027336886046169,author
author_ideology::center-right,-0.14224730050711787,0.032275620292353355,0.8674067198378032,0.8142339745335094,0.9240518587434755,1.0468275069031263e-05,author
author_ideology::left,0.19474910522908068,0.030314507083131968,1.215006109565792,1.1449176022841687,1.2893852302882127,1.3248870154218757e-10,author
author_ideology::right,-0.03547405099349842,0.03789175549096819,0.9651477785310417,0.8960653873150299,1.039556094443712,0.349173082892571,author
author_age::18-24,-0.07983875928515496,0.08547373141269292,0.923265202326709,0.7808538544367926,1.09164938993892,0.3502659090942051,author
author_age::35-44,0.14464490697589646,0.03485052462471569,1.1556291415555309,1.0793271942367595,1.237325178077024,3.318410948811636e-05,author
author_age::45-54,0.1456639735218721,0.03600125936688972,1.1568074048156114,1.0779935672438812,1.2413834483795947,5.2082452532513964e-05,author
author_age::55-64,0.12986603727359328,0.03514700874597498,1.13867583298774,1.0628754245205043,1.2198820508200683,0.00021993997935547098,author
author_age::65+,0.1515462619634405,0.037450380273988795,1.1636321324716805,1.0812778288812905,1.2522588585040204,5.1969577840471086e-05,author
